生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13277    0.030    0.000    0.481    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\slide.py:168(new)
        1    0.000    0.000    0.465    0.465 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:234(xml_for)
        1    0.008    0.008    0.465    0.465 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:243(_xml)
    26590    0.455    0.000    0.455    0.000 {method 'compress' of 'zlib.Compress' objects}
    13277    0.036    0.000    0.436    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\presentation.py:57(slide_layouts)
   106216    0.078    0.000    0.436    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:721(validate)
    13277    0.029    0.000    0.428    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:144(text)
    53319    0.144    0.000    0.424    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:237(get_attr_value)
   185882    0.087    0.000    0.419    0.000 <frozen abc>:117(__instancecheck__)
    66385    0.050    0.000    0.413    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:670(validate)
   106216    0.165    0.000    0.401    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:716(convert_to_xml)
  2595509    0.389    0.000    0.389    0.000 {built-in method unicodedata.east_asian_width}
    26554    0.110    0.000    0.386    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:613(_add_relationship)
    13277    0.043    0.000    0.382    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\slide.py:46(add_noFill_bgPr)
   451420    0.201    0.000    0.378    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\util.py:22(__new__)
    79772    0.371    0.000    0.371    0.000 {method 'seek' of '_io.BufferedRandom' objects}
    92939    0.371    0.000    0.371    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\groupshape.py:139(iter_shape_elms)
    13277    0.069    0.000    0.370    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:457(__getitem__)
    53180    0.199    0.000    0.365    0.000 zipfile\__init__.py:446(FileHeader)
   159324    0.307    0.000    0.363    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:120(__new__)
   119625    0.256    0.000    0.363    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:193(get_attr_value)
    13277    0.022    0.000    0.362    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:121(new)
    13296    0.009    0.000    0.358    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:131(add_override)
   199155    0.187    0.000    0.357    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\util.py:104(__new__)
    26554    0.069    0.000    0.355    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:86(clear_content)
   185882    0.203    0.000    0.333    0.000 {built-in method _abc._abc_instancecheck}
    53265    0.168    0.000    0.333    0.000 <frozen posixpath>:377(normpath)
   172601    0.176    0.000    0.325    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\util.py:123(__new__)
   146047    0.259    0.000    0.323    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\ns.py:118(nsdecls)
